jam_tidur,jam_fokus,distraksi_hp,olahraga,kafein,mood,deadline,skor_produktivitas
5.9,5.3,2.6,0.2,1,5,0,74.0
8.8,2.2,2.0,1.4,3,1,1,63.0
7.7,1.5,5.1,1.5,0,8,0,72.0
7.0,7.6,2.5,1.1,0,1,1,89.0
4.8,7.8,2.0,1.5,0,1,1,81.0
4.8,6.7,3.5,1.0,0,2,0,75.0
4.3,3.1,1.3,1.0,2,2,0,57.0
8.3,1.7,4.9,0.9,0,6,1,60.0
7.0,5.8,0.9,0.1,3,7,1,85.0
7.5,4.1,5.9,0.2,4,5,0,63.0
4.1,1.9,4.7,0.1,0,1,1,31.0
8.8,4.5,1.6,1.3,2,1,0,82.0
8.2,1.2,0.5,0.6,2,3,1,62.0
5.1,7.4,5.0,1.0,0,2,0,75.0
4.9,2.8,4.4,1.8,4,5,0,55.0
4.9,5.6,4.5,0.5,0,10,0,82.0
5.5,3.2,4.7,0.8,2,6,1,57.0
6.6,4.6,0.9,1.5,1,7,1,84.0
6.2,4.8,2.5,0.5,3,4,0,74.0
5.5,2.3,1.1,0.2,2,7,1,63.0
7.1,7.8,5.2,0.6,0,8,0,92.0
4.7,6.4,3.9,0.3,3,1,0,68.0
5.5,7.6,2.3,1.9,0,6,1,92.0
5.8,7.3,0.8,1.6,0,8,1,99.0
6.3,5.2,2.2,1.3,1,5,0,75.0
7.9,7.5,2.3,1.7,3,4,1,93.0
5.0,1.6,4.5,1.6,3,2,1,37.0
6.6,2.4,4.0,0.4,1,6,0,60.0
7.0,1.3,5.4,1.8,2,6,0,54.0
4.2,3.3,3.1,1.1,0,1,1,45.0
